county,lat,lon,cases
Bergen, 40.9322, -74.0563, 16709
Essex, 40.7764, -74.2287, 15256
Hudson, 40.7404, -74.0678, 16520
Union, 40.6610, -74.3105, 13917
Middlesex, 40.4796, -74.3945, 13617
Passaic, 40.9703, -74.2457, 14280
Monmouth, 40.2965, -74.1449, 6752
Ocean, 39.8986, -74.2203, 7277
Morris, 40.8549, -74.5174, 5767
Somerset, 40.5626, -74.6094, 3968
Mercer, 40.2677, -74.7129, 5111
Camden, 39.8458, -75.01645, 4619
Burlington, 39.9996, -74.7535, 3431
Gloucester, 39.7437, -75.1715, 1593
Sussex, 41.1287, -74.6642, 1015
Warren, 40.8275, -74.9665, 1034
Hunterdon, 40.5751, -74.913, 701
Atlantic, 39.4624, -74.7081, 1423
Cumberland, 39.3448, -75.0638, 1124
Cape May, 39.1283, -74.7639, 424
Salem, 39.6189, -75.3712, 363
